SampleNumber	SampleID	BottleLabel	SampleType	ReadingNumber	DateTime	BathTemperature	UncorrectedRatio	UncorrectedRatioStandDev	Correction	AdjustedRatio	CalculatedSalinity	CalculatedSalinityStandDev	Comments
1	Calibration#1	P158	0		24-Feb-2016 06:11:02	24C	0.999723	0.000007	-0.000023	0.999700	0.000000	0.0000	
1	Calibration#1		0	1	24-Feb-2016 06:11:02	24C	0.999723	0.000007	-0.000023	0.999700	0.000000	0.0000	
2	Calibration#2	P158	0		24-Feb-2016 06:11:54	24C	0.999733	0.000002	-0.000033	0.999701	0.000000	0.0000	
2	Calibration#2		0	1	24-Feb-2016 06:11:54	24C	0.999733	0.000002	-0.000033	0.999701	0.000000	0.0000	
3	Calibration#3	P158	0		24-Feb-2016 06:12:52	24C	0.999723	0.000006	-0.000023	0.999700	0.000000	0.0000	
3	Calibration#3		0	1	24-Feb-2016 06:12:53	24C	0.999723	0.000006	-0.000023	0.999700	0.000000	0.0000	
4	Calibration#4	P158	0		24-Feb-2016 06:13:48	24C	0.999733	0.000005	-0.000033	0.999700	0.000000	0.0000	
4	Calibration#4		0	1	24-Feb-2016 06:13:49	24C	0.999733	0.000005	-0.000033	0.999700	0.000000	0.0000	
5	Calibration#5	P158	0		24-Feb-2016 06:14:56	24C	0.999722	0.000007	-0.000022	0.999700	0.000000	0.0000	
5	Calibration#5		0	1	24-Feb-2016 06:14:57	24C	0.999722	0.000007	-0.000022	0.999700	0.000000	0.0000	
1	ab1602#1	018 1	1		24-Feb-2016 06:19:26	24C	0.997021	0.000004	-0.000022	0.996999	34.881890	0.0002	
1	ab1602#1		1	1	24-Feb-2016 06:19:36	24C	0.997018	0.000004	-0.000022	0.996996	34.881790	0.0002	
1	ab1602#1		1	2	24-Feb-2016 06:20:23	24C	0.997020	0.000004	-0.000022	0.996998	34.881870	0.0002	
1	ab1602#1		1	3	24-Feb-2016 06:21:07	24C	0.997024	0.000005	-0.000022	0.997002	34.882010	0.0002	
2	ab1602#2	018 2	1		24-Feb-2016 06:23:32	24C	0.997102	0.000005	-0.000022	0.997080	34.885090	0.0002	
2	ab1602#2		1	1	24-Feb-2016 06:23:42	24C	0.997101	0.000007	-0.000022	0.997079	34.885040	0.0003	
2	ab1602#2		1	2	24-Feb-2016 06:24:38	24C	0.997100	0.000004	-0.000022	0.997078	34.885000	0.0001	
2	ab1602#2		1	3	24-Feb-2016 06:25:36	24C	0.997105	0.000004	-0.000022	0.997083	34.885220	0.0002	
3	ab1602#3	018 3	1		24-Feb-2016 06:28:16	24C	0.997205	0.000006	-0.000022	0.997184	34.889180	0.0002	
3	ab1602#3		1	1	24-Feb-2016 06:28:26	24C	0.997205	0.000007	-0.000022	0.997183	34.889130	0.0003	
3	ab1602#3		1	2	24-Feb-2016 06:29:15	24C	0.997203	0.000006	-0.000022	0.997181	34.889080	0.0002	
3	ab1602#3		1	3	24-Feb-2016 06:30:00	24C	0.997209	0.000005	-0.000022	0.997187	34.889310	0.0002	
4	ab1602#4	018 4	1		24-Feb-2016 06:32:07	24C	0.997333	0.000008	-0.000022	0.997311	34.894170	0.0003	
4	ab1602#4		1	1	24-Feb-2016 06:32:17	24C	0.997336	0.000009	-0.000022	0.997314	34.894290	0.0004	
4	ab1602#4		1	2	24-Feb-2016 06:33:04	24C	0.997323	0.000007	-0.000022	0.997301	34.893790	0.0003	
4	ab1602#4		1	3	24-Feb-2016 06:33:47	24C	0.997339	0.000008	-0.000022	0.997317	34.894420	0.0003	
5	ab1602#5	018 5	1		24-Feb-2016 06:50:12	24C	0.997531	0.000005	-0.000022	0.997509	34.901950	0.0002	
5	ab1602#5		1	1	24-Feb-2016 06:50:22	24C	0.997536	0.000004	-0.000022	0.997514	34.902170	0.0002	
5	ab1602#5		1	2	24-Feb-2016 06:51:09	24C	0.997530	0.000004	-0.000022	0.997507	34.901910	0.0001	
5	ab1602#5		1	3	24-Feb-2016 06:51:53	24C	0.997526	0.000008	-0.000022	0.997504	34.901780	0.0003	
6	ab1602#6	018 6	1		24-Feb-2016 06:54:12	24C	0.997973	0.000005	-0.000022	0.997951	34.919360	0.0002	
6	ab1602#6		1	1	24-Feb-2016 06:54:22	24C	0.997973	0.000005	-0.000022	0.997951	34.919350	0.0002	
6	ab1602#6		1	2	24-Feb-2016 06:55:06	24C	0.997966	0.000005	-0.000022	0.997945	34.919110	0.0002	
6	ab1602#6		1	3	24-Feb-2016 06:55:57	24C	0.997980	0.000005	-0.000022	0.997958	34.919630	0.0002	
7	ab1602#7	018 7	1		24-Feb-2016 06:57:54	24C	0.998515	0.000005	-0.000022	0.998493	34.940690	0.0002	
7	ab1602#7		1	1	24-Feb-2016 06:58:04	24C	0.998511	0.000005	-0.000022	0.998490	34.940560	0.0002	
7	ab1602#7		1	2	24-Feb-2016 06:58:49	24C	0.998508	0.000005	-0.000022	0.998486	34.940400	0.0002	
7	ab1602#7		1	3	24-Feb-2016 06:59:38	24C	0.998525	0.000007	-0.000022	0.998504	34.941100	0.0003	
8	ab1602#8	018 8	1		24-Feb-2016 07:01:19	24C	0.999042	0.000005	-0.000022	0.999020	34.961410	0.0002	
8	ab1602#8		1	1	24-Feb-2016 07:01:29	24C	0.999034	0.000003	-0.000022	0.999012	34.961110	0.0001	
8	ab1602#8		1	2	24-Feb-2016 07:02:15	24C	0.999045	0.000007	-0.000022	0.999023	34.961550	0.0003	
8	ab1602#8		1	3	24-Feb-2016 07:03:02	24C	0.999046	0.000004	-0.000022	0.999024	34.961570	0.0001	
9	ab1602#9	018 9	1		24-Feb-2016 07:04:45	24C	0.999400	0.000006	-0.000022	0.999378	34.975520	0.0003	
9	ab1602#9		1	1	24-Feb-2016 07:04:55	24C	0.999398	0.000008	-0.000022	0.999376	34.975420	0.0003	
9	ab1602#9		1	2	24-Feb-2016 07:05:40	24C	0.999398	0.000005	-0.000022	0.999376	34.975420	0.0002	
9	ab1602#9		1	3	24-Feb-2016 07:06:31	24C	0.999405	0.000006	-0.000022	0.999383	34.975720	0.0002	
10	ab1602#10	018 10	1		24-Feb-2016 07:08:21	24C	0.999866	0.000004	-0.000022	0.999844	34.993850	0.0002	
10	ab1602#10		1	1	24-Feb-2016 07:08:31	24C	0.999864	0.000007	-0.000022	0.999842	34.993780	0.0003	
10	ab1602#10		1	2	24-Feb-2016 07:09:14	24C	0.999863	0.000003	-0.000022	0.999842	34.993760	0.0001	
10	ab1602#10		1	3	24-Feb-2016 07:10:00	24C	0.999870	0.000003	-0.000022	0.999848	34.994000	0.0001	
11	ab1602#11	018 11	1		24-Feb-2016 07:11:30	24C	1.000317	0.000003	-0.000022	1.000295	35.011620	0.0001	
11	ab1602#11		1	1	24-Feb-2016 07:11:40	24C	1.000309	0.000004	-0.000022	1.000287	35.011310	0.0001	
11	ab1602#11		1	2	24-Feb-2016 07:12:26	24C	1.000323	0.000003	-0.000022	1.000301	35.011850	0.0001	
11	ab1602#11		1	3	24-Feb-2016 07:13:10	24C	1.000319	0.000002	-0.000022	1.000297	35.011700	0.0001	
12	ab1602#12	018 12	1		24-Feb-2016 07:14:51	24C	1.001264	0.000002	-0.000022	1.001242	35.048880	0.0001	
12	ab1602#12		1	1	24-Feb-2016 07:15:01	24C	1.001276	0.000003	-0.000022	1.001254	35.049350	0.0001	
12	ab1602#12		1	2	24-Feb-2016 07:15:46	24C	1.001250	0.000002	-0.000022	1.001228	35.048340	0.0001	
12	ab1602#12		1	3	24-Feb-2016 07:16:30	24C	1.001266	0.000002	-0.000022	1.001244	35.048950	0.0001	
13	ab1602#13	018 13	1		24-Feb-2016 07:22:01	24C	1.002015	0.000003	-0.000022	1.001993	35.078440	0.0001	
13	ab1602#13		1	1	24-Feb-2016 07:22:12	24C	1.002013	0.000003	-0.000022	1.001991	35.078380	0.0001	
13	ab1602#13		1	2	24-Feb-2016 07:22:53	24C	1.002008	0.000003	-0.000022	1.001986	35.078180	0.0001	
13	ab1602#13		1	3	24-Feb-2016 07:23:34	24C	1.002023	0.000003	-0.000022	1.002001	35.078770	0.0001	
14	ab1602#14	018 14	1		24-Feb-2016 07:26:28	24C	1.002390	0.000003	-0.000022	1.002368	35.093240	0.0001	
14	ab1602#14		1	1	24-Feb-2016 07:26:38	24C	1.002388	0.000002	-0.000022	1.002366	35.093170	0.0001	
14	ab1602#14		1	2	24-Feb-2016 07:27:20	24C	1.002387	0.000003	-0.000022	1.002365	35.093110	0.0001	
14	ab1602#14		1	3	24-Feb-2016 07:28:02	24C	1.002395	0.000003	-0.000022	1.002373	35.093440	0.0001	
15	ab1602#15	018 15	1		24-Feb-2016 07:29:34	24C	1.004983	0.000001	-0.000022	1.004961	35.195340	0.0000	
15	ab1602#15		1	1	24-Feb-2016 07:29:44	24C	1.004978	0.000003	-0.000022	1.004956	35.195150	0.0001	
15	ab1602#15		1	2	24-Feb-2016 07:30:26	24C	1.004985	0.000000	-0.000022	1.004963	35.195430	0.0000	
15	ab1602#15		1	3	24-Feb-2016 07:31:08	24C	1.004985	0.000000	-0.000022	1.004963	35.195430	0.0000	
16	ab1602#16	018 3	1		24-Feb-2016 07:32:21	24C	0.997237	0.000007	-0.000022	0.997215	34.890410	0.0003	
16	ab1602#16		1	1	24-Feb-2016 07:32:31	24C	0.997240	0.000009	-0.000022	0.997218	34.890510	0.0004	
16	ab1602#16		1	2	24-Feb-2016 07:33:13	24C	0.997232	0.000006	-0.000022	0.997211	34.890240	0.0002	
16	ab1602#16		1	3	24-Feb-2016 07:33:56	24C	0.997239	0.000006	-0.000022	0.997216	34.890470	0.0002	
17	ab1602#17	018 18	1		24-Feb-2016 07:35:30	24C	1.032082	0.000004	-0.000022	1.032060	36.265510	0.0002	
17	ab1602#17		1	1	24-Feb-2016 07:35:41	24C	1.032079	0.000004	-0.000022	1.032058	36.265430	0.0002	
17	ab1602#17		1	2	24-Feb-2016 07:36:23	24C	1.032077	0.000005	-0.000022	1.032055	36.265330	0.0002	
17	ab1602#17		1	3	24-Feb-2016 07:37:05	24C	1.032089	0.000004	-0.000022	1.032067	36.265790	0.0002	
18	ab1602#18	018  016	1		24-Feb-2016 07:38:21	24C	1.012678	0.000003	-0.000022	1.012656	35.498720	0.0001	
18	ab1602#18		1	1	24-Feb-2016 07:38:31	24C	1.012675	0.000002	-0.000022	1.012653	35.498600	0.0001	
18	ab1602#18		1	2	24-Feb-2016 07:39:15	24C	1.012676	0.000003	-0.000022	1.012654	35.498640	0.0001	
18	ab1602#18		1	3	24-Feb-2016 07:39:58	24C	1.012683	0.000003	-0.000022	1.012661	35.498910	0.0001	
19	ab1602#19	018 17	1		24-Feb-2016 07:41:10	24C	1.021825	0.000002	-0.000022	1.021803	35.859870	0.0001	
19	ab1602#19		1	1	24-Feb-2016 07:41:20	24C	1.021824	0.000002	-0.000022	1.021802	35.859820	0.0001	
19	ab1602#19		1	2	24-Feb-2016 07:42:03	24C	1.021819	0.000002	-0.000022	1.021798	35.859630	0.0001	
19	ab1602#19		1	3	24-Feb-2016 07:42:45	24C	1.021833	0.000003	-0.000022	1.021810	35.860150	0.0001	
20	ab1602#20	018 18	1		24-Feb-2016 07:43:58	24C	1.032056	0.000003	-0.000022	1.032034	36.264510	0.0001	
20	ab1602#20		1	1	24-Feb-2016 07:44:08	24C	1.032043	0.000003	-0.000022	1.032021	36.263980	0.0001	
20	ab1602#20		1	2	24-Feb-2016 07:44:51	24C	1.032063	0.000004	-0.000022	1.032041	36.264780	0.0001	
20	ab1602#20		1	3	24-Feb-2016 07:45:32	24C	1.032063	0.000004	-0.000022	1.032041	36.264760	0.0001	
21	ab1602#21	018 19	1		24-Feb-2016 07:46:47	24C	1.037910	0.000004	-0.000022	1.037888	36.496350	0.0001	
21	ab1602#21		1	1	24-Feb-2016 07:46:57	24C	1.037903	0.000004	-0.000022	1.037881	36.496110	0.0002	
21	ab1602#21		1	2	24-Feb-2016 07:47:40	24C	1.037910	0.000004	-0.000022	1.037888	36.496350	0.0001	
21	ab1602#21		1	3	24-Feb-2016 07:48:22	24C	1.037916	0.000003	-0.000022	1.037894	36.496600	0.0001	
22	ab1602#22	018 20	1		24-Feb-2016 07:49:36	24C	1.039976	0.000006	-0.000022	1.039954	36.578250	0.0002	
22	ab1602#22		1	1	24-Feb-2016 07:49:46	24C	1.039976	0.000006	-0.000022	1.039953	36.578240	0.0002	
22	ab1602#22		1	2	24-Feb-2016 07:50:28	24C	1.039971	0.000004	-0.000022	1.039949	36.578060	0.0002	
22	ab1602#22		1	3	24-Feb-2016 07:51:11	24C	1.039981	0.000007	-0.000022	1.039959	36.578450	0.0003	
23	ab1602#23	018 21	1		24-Feb-2016 07:52:45	24C	1.044726	0.000008	-0.000022	1.044704	36.766630	0.0003	
23	ab1602#23		1	1	24-Feb-2016 07:52:55	24C	1.044726	0.000010	-0.000022	1.044704	36.766640	0.0004	
23	ab1602#23		1	2	24-Feb-2016 07:53:38	24C	1.044728	0.000005	-0.000022	1.044706	36.766700	0.0002	
23	ab1602#23		1	3	24-Feb-2016 07:54:19	24C	1.044724	0.000009	-0.000022	1.044702	36.766560	0.0004	
24	ab1602#24	018 22	1		24-Feb-2016 07:56:35	24C	1.040170	0.000005	-0.000022	1.040148	36.585940	0.0002	
24	ab1602#24		1	1	24-Feb-2016 07:56:45	24C	1.040170	0.000005	-0.000022	1.040148	36.585950	0.0002	
24	ab1602#24		1	2	24-Feb-2016 07:57:27	24C	1.040167	0.000005	-0.000022	1.040146	36.585850	0.0002	
24	ab1602#24		1	3	24-Feb-2016 07:58:10	24C	1.040172	0.000005	-0.000022	1.040150	36.586040	0.0002	
25	ab1602#25	018 23	1		24-Feb-2016 08:12:48	24C	1.040936	0.000004	-0.000022	1.040914	36.616290	0.0001	
25	ab1602#25		1	1	24-Feb-2016 08:12:59	24C	1.040929	0.000004	-0.000022	1.040908	36.616070	0.0001	
25	ab1602#25		1	2	24-Feb-2016 08:13:41	24C	1.040935	0.000003	-0.000022	1.040912	36.616250	0.0001	
25	ab1602#25		1	3	24-Feb-2016 08:14:24	24C	1.040943	0.000004	-0.000022	1.040921	36.616570	0.0002	
26	ab1602#26	018 24	1		24-Feb-2016 08:15:39	24C	1.041555	0.000003	-0.000022	1.041532	36.640840	0.0001	
26	ab1602#26		1	1	24-Feb-2016 08:15:49	24C	1.041552	0.000003	-0.000022	1.041530	36.640740	0.0001	
26	ab1602#26		1	2	24-Feb-2016 08:16:33	24C	1.041559	0.000003	-0.000022	1.041537	36.641010	0.0001	
26	ab1602#26		1	3	24-Feb-2016 08:17:16	24C	1.041553	0.000004	-0.000022	1.041530	36.640760	0.0001	
27	ab1602#27	019 1	1		24-Feb-2016 08:18:31	24C	0.997026	0.000003	-0.000022	0.997004	34.882110	0.0001	
27	ab1602#27		1	1	24-Feb-2016 08:18:42	24C	0.997038	0.000004	-0.000022	0.997016	34.882580	0.0002	
27	ab1602#27		1	2	24-Feb-2016 08:19:23	24C	0.997023	0.000004	-0.000022	0.997001	34.882000	0.0001	
27	ab1602#27		1	3	24-Feb-2016 08:20:05	24C	0.997017	0.000003	-0.000022	0.996995	34.881760	0.0001	
28	ab1602#28	019 2	1		24-Feb-2016 08:21:24	24C	0.997067	0.000003	-0.000022	0.997045	34.883710	0.0001	
28	ab1602#28		1	1	24-Feb-2016 08:21:34	24C	0.997060	0.000003	-0.000022	0.997039	34.883470	0.0001	
28	ab1602#28		1	2	24-Feb-2016 08:22:16	24C	0.997071	0.000002	-0.000022	0.997049	34.883880	0.0001	
28	ab1602#28		1	3	24-Feb-2016 08:22:59	24C	0.997068	0.000003	-0.000022	0.997046	34.883770	0.0001	
