SampleNumber	SampleID	BottleLabel	SampleType	ReadingNumber	DateTime	BathTemperature	UncorrectedRatio	UncorrectedRatioStandDev	Correction	AdjustedRatio	CalculatedSalinity	CalculatedSalinityStandDev	Comments
1	Calibration#1	p158	0		8-Oct-2015 18:08:48	24C	0.999569	0.000002	0.000131	0.999700	0.000000	0.0000	
1	Calibration#1		0	1	8-Oct-2015 18:08:49	24C	0.999569	0.000002	0.000131	0.999700	0.000000	0.0000	
2	Calibration#2	p158	0		8-Oct-2015 18:09:46	24C	0.998687	0.000004	0.001013	0.999700	0.000000	0.0000	
2	Calibration#2		0	1	8-Oct-2015 18:09:47	24C	0.998687	0.000004	0.001013	0.999700	0.000000	0.0000	
3	Calibration#3	p158	0		8-Oct-2015 18:11:45	24C	0.999860	0.000005	-0.000160	0.999700	0.000000	0.0000	
3	Calibration#3		0	1	8-Oct-2015 18:11:45	24C	0.999860	0.000005	-0.000160	0.999700	0.000000	0.0000	
4	Calibration#4	p158	0		8-Oct-2015 18:16:02	24C	0.999871	0.000003	-0.000171	0.999700	0.000000	0.0000	
4	Calibration#4		0	1	8-Oct-2015 18:16:02	24C	0.999871	0.000003	-0.000171	0.999700	0.000000	0.0000	
5	Calibration#5	p158	0		8-Oct-2015 18:16:54	24C	0.999888	0.000003	-0.000188	0.999700	0.000000	0.0000	
5	Calibration#5		0	1	8-Oct-2015 18:16:55	24C	0.999888	0.000003	-0.000188	0.999700	0.000000	0.0000	
6	Calibration#6	p158	0		8-Oct-2015 18:17:47	24C	0.999832	0.000003	-0.000132	0.999700	0.000000	0.0000	
6	Calibration#6		0	1	8-Oct-2015 18:17:47	24C	0.999832	0.000003	-0.000132	0.999700	0.000000	0.0000	
1	ab1510_014_015#1	014 1	1		8-Oct-2015 18:20:12	24C	0.996321	0.000003	-0.000132	0.996189	34.850050	0.0001	
1	ab1510_014_015#1		1	1	8-Oct-2015 18:20:14	24C	0.996287	0.000003	-0.000132	0.996155	34.848690	0.0001	
1	ab1510_014_015#1		1	2	8-Oct-2015 18:20:52	24C	0.996342	0.000003	-0.000132	0.996210	34.850870	0.0001	
1	ab1510_014_015#1		1	3	8-Oct-2015 18:21:36	24C	0.996335	0.000002	-0.000132	0.996203	34.850590	0.0001	
