SampleNumber	SampleID	BottleLabel	SampleType	ReadingNumber	DateTime	BathTemperature	UncorrectedRatio	UncorrectedRatioStandDev	Correction	AdjustedRatio	CalculatedSalinity	CalculatedSalinityStandDev	Comments
1	Calibration#1	p158	0		7-Oct-2015 01:36:44	24C	0.999702	0.000002	-0.000002	0.999700	0.000000	0.0000	
1	Calibration#1		0	1	7-Oct-2015 01:36:45	24C	0.999702	0.000002	-0.000002	0.999700	0.000000	0.0000	
2	Calibration#2	p158	0		7-Oct-2015 01:38:23	24C	0.999651	0.000002	0.000049	0.999700	0.000000	0.0000	
2	Calibration#2		0	1	7-Oct-2015 01:38:23	24C	0.999651	0.000002	0.000049	0.999700	0.000000	0.0000	
3	Calibration#3	p158	0		7-Oct-2015 01:40:12	24C	0.999615	0.000002	0.000085	0.999700	0.000000	0.0000	
3	Calibration#3		0	1	7-Oct-2015 01:40:13	24C	0.999615	0.000002	0.000085	0.999700	0.000000	0.0000	
4	Calibration#4	p158	0		7-Oct-2015 01:41:15	24C	0.999879	0.000002	-0.000179	0.999699	0.000000	0.0000	
4	Calibration#4		0	1	7-Oct-2015 01:41:15	24C	0.999879	0.000002	-0.000179	0.999699	0.000000	0.0000	
5	Calibration#5	p158	0		7-Oct-2015 01:42:12	24C	0.999889	0.000003	-0.000189	0.999700	0.000000	0.0000	
5	Calibration#5		0	1	7-Oct-2015 01:42:12	24C	0.999889	0.000003	-0.000189	0.999700	0.000000	0.0000	
1	ab1510_004_005#1	004 1	1		7-Oct-2015 01:44:44	24C	0.997265	0.000003	-0.000189	0.997076	34.884940	0.0001	
1	ab1510_004_005#1		1	1	7-Oct-2015 01:44:54	24C	0.997263	0.000003	-0.000189	0.997073	34.884840	0.0001	
1	ab1510_004_005#1		1	2	7-Oct-2015 01:45:48	24C	0.997263	0.000004	-0.000189	0.997074	34.884850	0.0001	
1	ab1510_004_005#1		1	3	7-Oct-2015 01:46:34	24C	0.997270	0.000003	-0.000189	0.997081	34.885140	0.0001	
2	ab1510_004_005#2	004 2	1		7-Oct-2015 01:49:57	24C	0.997614	0.000002	-0.000189	0.997425	34.898660	0.0001	
2	ab1510_004_005#2		1	1	7-Oct-2015 01:50:07	24C	0.997613	0.000003	-0.000189	0.997424	34.898630	0.0001	
2	ab1510_004_005#2		1	2	7-Oct-2015 01:50:55	24C	0.997614	0.000002	-0.000189	0.997425	34.898690	0.0001	
2	ab1510_004_005#2		1	3	7-Oct-2015 01:51:37	24C	0.997613	0.000002	-0.000189	0.997425	34.898650	0.0001	
3	ab1510_004_005#3	004 3	1		7-Oct-2015 01:53:04	24C	0.997791	0.000003	-0.000189	0.997602	34.905650	0.0001	
3	ab1510_004_005#3		1	1	7-Oct-2015 01:53:14	24C	0.997786	0.000003	-0.000189	0.997597	34.905460	0.0001	
3	ab1510_004_005#3		1	2	7-Oct-2015 01:53:53	24C	0.997795	0.000002	-0.000189	0.997606	34.905790	0.0001	
3	ab1510_004_005#3		1	3	7-Oct-2015 01:54:38	24C	0.997792	0.000003	-0.000189	0.997604	34.905690	0.0001	
4	ab1510_004_005#4	004 4	1		7-Oct-2015 01:56:07	24C	0.998193	0.000002	-0.000189	0.998004	34.921450	0.0001	
4	ab1510_004_005#4		1	1	7-Oct-2015 01:56:17	24C	0.998191	0.000002	-0.000189	0.998002	34.921350	0.0001	
4	ab1510_004_005#4		1	2	7-Oct-2015 01:56:53	24C	0.998199	0.000002	-0.000189	0.998010	34.921690	0.0001	
4	ab1510_004_005#4		1	3	7-Oct-2015 01:57:26	24C	0.998190	0.000002	-0.000189	0.998001	34.921330	0.0001	
5	ab1510_004_005#5	004 5	1		7-Oct-2015 01:58:52	24C	0.998378	0.000003	-0.000189	0.998189	34.928710	0.0001	
5	ab1510_004_005#5		1	1	7-Oct-2015 01:58:56	24C	0.998373	0.000004	-0.000189	0.998184	34.928540	0.0001	
5	ab1510_004_005#5		1	2	7-Oct-2015 01:59:31	24C	0.998369	0.000002	-0.000189	0.998180	34.928350	0.0001	
5	ab1510_004_005#5		1	3	7-Oct-2015 02:00:10	24C	0.998392	0.000002	-0.000189	0.998203	34.929260	0.0001	
6	ab1510_004_005#6	004 6	1		7-Oct-2015 02:01:58	24C	0.998581	0.000003	-0.000189	0.998392	34.936710	0.0001	
6	ab1510_004_005#6		1	1	7-Oct-2015 02:02:01	24C	0.998571	0.000003	-0.000189	0.998382	34.936320	0.0001	
6	ab1510_004_005#6		1	2	7-Oct-2015 02:02:32	24C	0.998580	0.000002	-0.000189	0.998391	34.936680	0.0001	
6	ab1510_004_005#6		1	3	7-Oct-2015 02:03:06	24C	0.998591	0.000002	-0.000189	0.998403	34.937130	0.0001	
7	ab1510_004_005#7	004 7	1		7-Oct-2015 02:04:42	24C	0.998881	0.000003	-0.000189	0.998692	34.948520	0.0001	
7	ab1510_004_005#7		1	1	7-Oct-2015 02:04:45	24C	0.998873	0.000003	-0.000189	0.998684	34.948210	0.0001	
7	ab1510_004_005#7		1	2	7-Oct-2015 02:05:17	24C	0.998881	0.000003	-0.000189	0.998692	34.948520	0.0001	
7	ab1510_004_005#7		1	3	7-Oct-2015 02:05:58	24C	0.998889	0.000002	-0.000189	0.998700	34.948810	0.0001	
8	ab1510_004_005#8	004 8	1		7-Oct-2015 02:07:30	24C	0.999236	0.000003	-0.000189	0.999047	34.962500	0.0001	
8	ab1510_004_005#8		1	1	7-Oct-2015 02:07:31	24C	0.999232	0.000002	-0.000189	0.999043	34.962320	0.0001	
8	ab1510_004_005#8		1	2	7-Oct-2015 02:08:04	24C	0.999233	0.000003	-0.000189	0.999044	34.962370	0.0001	
8	ab1510_004_005#8		1	3	7-Oct-2015 02:08:39	24C	0.999244	0.000002	-0.000189	0.999055	34.962810	0.0001	
9	ab1510_004_005#9	004 9	1		7-Oct-2015 02:10:08	24C	0.999466	0.000003	-0.000189	0.999278	34.971560	0.0001	
9	ab1510_004_005#9		1	1	7-Oct-2015 02:10:10	24C	0.999464	0.000003	-0.000189	0.999275	34.971460	0.0001	
9	ab1510_004_005#9		1	2	7-Oct-2015 02:10:42	24C	0.999466	0.000002	-0.000189	0.999278	34.971560	0.0001	
9	ab1510_004_005#9		1	3	7-Oct-2015 02:11:19	24C	0.999469	0.000003	-0.000189	0.999280	34.971660	0.0001	
10	ab1510_004_005#10	004 10	1		7-Oct-2015 02:13:08	24C	0.999742	0.000002	-0.000189	0.999553	34.982400	0.0001	
10	ab1510_004_005#10		1	1	7-Oct-2015 02:13:10	24C	0.999725	0.000002	-0.000189	0.999536	34.981740	0.0001	
10	ab1510_004_005#10		1	2	7-Oct-2015 02:13:42	24C	0.999737	0.000002	-0.000189	0.999548	34.982190	0.0001	
10	ab1510_004_005#10		1	3	7-Oct-2015 02:14:19	24C	0.999764	0.000002	-0.000189	0.999575	34.983250	0.0001	
11	ab1510_004_005#11	004 10	1		7-Oct-2015 02:16:16	24C	0.999740	0.000003	-0.000189	0.999552	34.982350	0.0001	
11	ab1510_004_005#11		1	1	7-Oct-2015 02:16:26	24C	0.999739	0.000002	-0.000189	0.999550	34.982270	0.0001	
11	ab1510_004_005#11		1	2	7-Oct-2015 02:17:00	24C	0.999741	0.000003	-0.000189	0.999551	34.982350	0.0001	
11	ab1510_004_005#11		1	3	7-Oct-2015 02:17:36	24C	0.999742	0.000003	-0.000189	0.999554	34.982430	0.0001	
12	ab1510_004_005#12	004 11	1		7-Oct-2015 02:19:36	24C	0.983321	0.000003	-0.000189	0.983132	34.339050	0.0001	
12	ab1510_004_005#12		1	1	7-Oct-2015 02:19:38	24C	0.999989	0.000004	-0.000189	0.999800	34.992130	0.0002	
